,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
4228,Headbanger,"Headbanger is one of the finest hybrid strains you can possibly get your hands on. The strain is produced by crossing Biker Rush and Sour Diesel and also won the Amsterdam Cannabis Cup in 2013. Not only is it a sativa dominant strain but it has an exceptionally high THC content which falls anywhere in between 25 and 28%. Headbanger has a 30:70 indica/sativa ratio and it produces beautiful buds to medicate with. The buds are incredibly dense and it borrows extensively from its Kush heritage. Moreover, it smells sour and offers a blend of citrus and diesel flavors at the same time. The strain is known as headbanger for good reason. Its high will overwhelm your senses in no time. It primarily offers a cerebral high and will make it easier for you to focus and concentrate on the task at hand. You will feel happy and euphoric at the same time, which is just what you will need if you are finding it difficult to keep things interesting. Considering its effects, the strain is better suited for individuals who are suffering from medical problems like mood swings, anxiety, depression and other mood disorders.",Sativa Dominant Hybrid,30% Indica,70% Sativa,25.0,Earthy Orange Citrus Sweet Diesel Herbal Berry Skunky Woody,Creative Energizing Euphoria Focus Happy Uplifting Creative Energizing Euphoria Focus Happy Uplifting
4229,Banana Berry Kush,Banana Berry Kush is an indica dominant hybrid strain created through crossing the delicious,Indica Dominant Hybrid,70% Indica,30% Sativa,18.5,Earthy Sweet Kush Berry Skunky,Hungry Relaxing Sleepy Uplifting Hungry Relaxing Sleepy Uplifting
4230,Shark OG,"Shark OG, also known as “OG Shark,” is an evenly balanced hybrid (50% indica/50% sativa) strain created through a powerful cross of the infamous",Hybrid,50% Indica,50% Sativa,20.0,Earthy Sweet Blueberry Diesel Spicy Berry Pungent,Aroused Creative Happy Relaxing Aroused Creative Happy Relaxing
4231,Somango,"Soma Seeds created Somango by crossing Jack Here, Super Skunk, and Big Skunk Korean. It's an indica-heavy hybrid with a sativa/indica ratio of roughly 25:75, yet its effects are decidedly cerebral, with a mood boost, a creative shot of energy, and a healthy dose of euphoria as a kick. This strain is recommended mostly for treatment of mental illnesses, including anxiety, depression, mood disorders, and avoidant behavior patterns. As its name suggests, Somango smells of mangos and the tropics; the flavor is also fruity and tropical. The buds are light green in appearance, with amber strands and a dusting of crystals. This strain has relatively high THC levels, exceeding 20% in some tests, but CBD levels are much lower, less than 1%. That means Somango isn't the best choice as exclusive treatment for seizures or other problems that are alleviated with CBD. Adverse effects aren't widely reported for this strain, but the typical negatives include dry mouth, red eyes, and paranoia. Found mostly in Arizona, Somango also appears in Spain and Washington State, it isn't especially popular in those places.",Indica Dominant Hybrid,75% Indica,25% Sativa,20.0,Earthy Mango Sweet Spicy Tropical Fruity Vanilla,Creative Euphoria Happy Hungry Sleepy Creative Euphoria Happy Hungry Sleepy
4232,Captain Crunch,"Even though Captain Crunch has a THC content of no more than 15%, it still offers a sensational high. The strain in an indica dominant hybrid and has a 70:30 indica/sativa ratio. The buds are unexpectedly large and dark green in color. Additionally, they are quite frosty with tiny hairs seeping through their surface. The reason why it is called Captain Crunch is because it actually does smell like the cereal itself but with pine undertones. The taste is just about the same and is quite sweet at the same time. The strain offers an amazing body buzz and it will calm your senses in no time. Moreover, it is the perfect strain to medicate with if you are unable to relax. Unlike other strains, it is not a creeper. It hits hard and fast. In a matter of minutes, you will feel the high set in and take control of your body and mind. You will eventually exhibit symptoms of couch-lock as well. The strain is ideal for those who have nothing else to do, as it does have the potential to knock you out for the rest of the day. That being said, the strain is better suited to treating patients with medical conditions like insomnia, anorexia, depression and even anxiety.",Indica Dominant Hybrid,70% Indica,30% Sativa,15.0,Pine Sweet Pungent,Body High Relaxing Body High Relaxing
4233,Highlands,"Highlands is a rare indica dominant hybrid strain that is said to be a descendant of the Afghani family, although this has never been confirmed by its breeders. Best known for its calming and focused high, Highlands is a great choice for any indica lover who appreciates highly medicinal effects. You’ll feel a light increase in euphoria at the onset of the high, filling you with a sense of focus and purpose and a touch of energy. As your mind rises, your body will begin to settle into a state or pure relaxation and ease that won’t cause too much sedation. A calming overtone helps to keep both mind and body totally mellow from start to finish. In combination with its high 23% average THC level and 5% CBD level, these effects give Highlands an edge in treating conditions such as chronic pain, ADD or ADHD, chronic fatigue, depression, mood swings and chronic stress. This bud has a super pungent and spicy flavor of rich earth and fuel. The aroma is very heavy and dank as well with a rotten pungency that fills any room with its heavy stench. Highlands has minty green grape-shaped nugs with reddish amber hairs and a coating of dusty white crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,23.0,Earthy Diesel Spicy Herbal Pungent Woody,Calming Energizing Euphoria Focus Happy Uplifting Calming Energizing Euphoria Focus Happy Uplifting
4234,Colorado Kush,"Colorado Kush is a rare slightly indica dominant hybrid strain (65% indica/35% sativa) created as a phenotype of the infamous OG Kush strain. If you’re on the hunt for a bud with hard-hitting effects and classic flavors, this is it. Colorado Kush packs a heavy full-bodied high that hits with a high level of potency thanks to its super high 16-25% average THC level. The high comes on with a rushing cerebral effect that launches your mind into pure euphoria before settling in for a long and relaxing ride. You’ll feel a light sleepy effect wash over you as your body drops off into a totally peaceful stone, leaving you sedated and totally at ease with the world around you. In combination with its high THC level, these effects make Colorado Kush perfect for treating conditions such as insomnia, chronic pain, depression, migraines or headaches, and mood swings. This bud has a sweet fruity pine flavor with a rich spicy woody exhale. The aroma is very earthy and spicy with a kush overtone that’s accented by rich fruits and herbs. Colorado Kush buds have piecey grape-shaped neon green nugs with furry amber hairs and a coating of frosty sandy amber crystal trichomes.",Indica Dominant Hybrid,65% Indica,35% Sativa,20.5,Earthy Sweet Spicy Fruity Herbal Pine Woody,Body High Cerebral Euphoria Relaxing Sleepy Body High Cerebral Euphoria Relaxing Sleepy
4235,Gandalf OG,Gandalf OG is an indica dominant hybrid strain created through crossing the rare,Indica Dominant Hybrid,70% Indica,30% Sativa,27.0,Earthy Sweet Citrus Diesel Grape Lemon Berry Pine,Euphoria Happy Relaxing Sleepy Euphoria Happy Relaxing Sleepy
4236,Indigo,"Indigo is a 100% pure indica strain created through crossing native North African Landrace with Afghani Landrace. This strain gets its name from its gorgeous purple appearance and floral flavor. Indigo buds have lumpy popcorn-shaped nugs that are dark purple in color with long thin amber hairs and a coating of tiny lavender colored crystal trichomes. As you break apart each fluffy little nug, rich aromas of fresh herbs and earth are released with a floral overtone. The flavor is very sweet and spicy, much like a fresh herbal tea. The Indigo high comes on slowly, building into a long-lasting high that will keep you lifted for hours on end. You’ll feel a lifted onset that’s rather mellow in nature, pulling you into a happy state of relaxation that calms both mind and body. You’ll be a little bit sleepy in this state, although not quite sedated, and pretty hungry. In combination with its 10-12% THC level and 1-2% average CBD level, these effects make Indigo perfect for treating conditions such as insomnia, chronic stress, depression, chronic fatigue, and mood swings.",Indica,,,11.0,Earthy Sweet Spicy Herbal Tea Flowery Woody,Long Lasting Mellow Relaxing Uplifting Long Lasting Mellow Relaxing Uplifting
4237,Thai,"The term ""Thai"" refers less to a specific strain than it does to a group of strains descending from a sativa landrace in Thailand. Thai strains are pure sativa, with a 100:0 sativa/indica ratio and a typically potent cerebral high that adds pep to a busy day. Also known as ""Thai Sticks"" because Thai marijuana farmers traditionally lash harvested buds into sticks for drying. The original Thai strains have given rise to a host of popular hybrids, including Haze, Voodoo, and Juicy Fruit. The head high is focused and energizing, powerful but calming, with strong euphoria and clear-headed effects. It's an upbeat strain, good for combatting fatigue, ADHD, and anxiety. Thai has a distinct lemon scent and flavor, with additional notes of wood and spice present in the aroma. The THC levels vary by location, breeder, and crop, but they can top 23% in some plants. CBD levels, on the other hand, are very low, typical for a sativa. There are few reports of negative effects, though dry mouth is always possible. Thai is most popular in the Pacific Northwest, and can also be found in California. Elsewhere, like most pure strains, it's scarce.",Sativa,,,22.0,Earthy Citrus Sweet Spicy Herbal Pine Woody,Energizing Euphoria Focus Energizing Euphoria Focus
4238,God’s Treat,"God's Treat is created by marrying God Bud with Dutch Treat. This results in an Indica dominant strain that contain 75 percent Indica and about 25 percent Sativa. The plant has tall cone shaped flowers that are covered with thin leaves that are a prominent feature in Sativa strains. The leaves are green with golden and yellow leaves and crystals. It has a flowering period of about seven weeks. The strain provides a very mellow yet uplifting effect that continues to linger on in your body for quite some time. It has an earthy aroma with strong hints of candy and floral scents. Its flavor is quite the same and feels quite earthy yet sweet. Gods Treat has a high THC level of up to 22 percent. It produces a heavy buzz that has calming effects on your system. It makes you quite energized and euphoric when you smoke it. Gods Treat is best used for treating anxiety and stress as it can alleviate the symptoms of anxiety from your body conveniently. It is also used for relaxing muscle spasms and providing relief from tremors. It tends to dry your eyes and mouth at times. Other than that, it is safe to use.",Hybrid,50% Indica,50% Sativa,20.0,Coffee Blueberry Candy Spicy Herbal,Body High Cerebral Energizing Euphoria Happy Relaxing Sociable Body High Cerebral Energizing Euphoria Happy Relaxing Sociable
